,type,county,official_business_name,name,address,city,state,zip,lat,lng,geometry,type_generic
1,Brewer,Monroe,Narragansett Brewing Company,Narragansett Brewing Company,445 St Paul St,Rochester,NY,14605,43.16459,-77.61446,POINT (-77.61445999999999 43.16459),other
7,Brewer,Monroe,High Falls Operating Co Llc/Licensing Co Llc,High Falls Brewing Co/North American Breweries,445 St Paul St,Rochester,NY,14605,43.16493105,-77.61437097,POINT (-77.61437097000001 43.16493105000001),other
8,Brewer,Monroe,Mark Anthony Brewing Inc,Mikes Hard Lemonade Co,445 St Paul St,Rochester,NY,14605,43.16493105,-77.61437097,POINT (-77.61437097000001 43.16493105000001),other
9,Brewer,Monroe,Lidestri Beverages Llc,Lidestri Spirits,1050 Lee Rd,Rochester,NY,14606,43.18771,-77.6798,POINT (-77.6798 43.18771000000001),other
10,Brewer,Ontario,Constellation Brands Inc,Constellation Brands ,116 Buffalo St,Canandaigua,NY,14424,42.8964164,-77.29376828,POINT (-77.29376827999999 42.89641639999999),other
27,Distiller A-1,Tompkins,Six Mile Enterprises Llc,Six Mile Creek Vineyard,1551 Slaterville Rd,Ithaca,NY,14850,42.41575,-76.45534,POINT (-76.45534000000001 42.41575),other
40,Distiller A-1,Schuyler,Finger Lakes Distilling Llc,Finger Lakes Distilling ,4676 Nys Route 414,Burdett,NY,14818,42.4602,-76.8636,POINT (-76.86360000000001 42.46020000000001),other
75,Distiller B,Ontario,Constellation Brands Inc,Constellation Brands ,116 Buffalo St,Canandaigua,NY,14424,42.89829,-77.29629,POINT (-77.29629 42.89829),other
79,Distiller B,Monroe,Fishbowl Spirits Llc,Fishbowl Spirits ,1050 Lee Rd,Rochester,NY,14606,43.18771,-77.6798,POINT (-77.6798 43.18771000000001),other
86,Distiller B-1,Monroe,Lidestri Beverages Llc,Lidestri Spirits,1050 Lee Rd,Rochester,NY,14606,43.18740375,-77.68034844,POINT (-77.68034844 43.18740375),other
96,Distiller C,Seneca,Swedish Hill Vineyard Inc,"(Distiller ""C"")",4565 Route 414,Romulus,NY,14541,42.21985421,-76.97419268,POINT (-76.97419268 42.21985421),other
104,Farm Brewer,Steuben,Chautauqua Brewing Company Llc,The Brewery Of Broken Dreams,8319 Pleasant Valley Rd,Hammondsport,NY,14840,42.40467078,-77.24307859,POINT (-77.24307859 42.40467077999999),other
167,Farm Brewer,Tompkins,Liquid State Brewing Company Inc,Liquid State Brewing Company ,620 W Green St,Ithaca,NY,14850,42.43872,-76.50768000000002,POINT (-76.50768000000002 42.43872),other
206,Farm Brewer,Monroe,Fifth Frame Brewing Co Llc,Fifth Frame Brewing Co ,138 Joseph Ave,Rochester,NY,14605,43.16586,-77.60614,POINT (-77.60614 43.16586),other
253,Farm Brewer,Steuben,Keg And Barrel Brewing Company Inc,Keg And Barrel Brewing Company,14720 State Rte 54,Dundee,NY,14837,42.49206,-77.11955,POINT (-77.11955 42.49205999999999),other
289,Farm Brewer,Yates,Seneca Lake Brewing Company Llc,Seneca Lake Brewing Company ,4520 State Rte 14,Rock Stream,NY,14878,42.45345,-76.91001,POINT (-76.91001 42.45344999999999),other
291,Farm Brewer,Livingston,No Bs Brew Company Llc,No Bs Brew Company ,3474 Bronson Hill Rd,Livonia,NY,14487,42.83377,-77.69192,POINT (-77.69192 42.83377000000001),other
308,Farm Brewer,Yates,Vineyard View Winery Llc,Vineyard View Winery ,2971 Williams Hill Rd,Keuka Park,NY,14478,42.62358,-77.10254,POINT (-77.10254 42.62358),other
311,Farm Brewer,Seneca,Bottomless Brewing Llc,Bottomless Brewing ,3543 E Lake Rd,Geneva,NY,14456,42.85389,-76.93345,POINT (-76.93344999999999 42.85388999999999),other
334,Farm Brewer,Steuben,Steuben Brewing Company Llc,Steuben Brewing Company ,10286 Judson Rd,Hammondsport,NY,148409668,42.50379629,-77.18650658,POINT (-77.18650658 42.50379629),other
