type,county,official_business_name,name,address,city,state,zip,lat,lng
Brewer,Suffolk,Blue Point Brewing Company Inc,Blue Point Brewing Company ,225 W Main St,Patchouge,NY,11772,40.76644,-73.02105
Brewer,Monroe,Narragansett Brewing Company,Narragansett Brewing Company,445 St Paul St,Rochester,NY,14605,43.164590000000004,-77.61446
Brewer,Kings,"Brooklyn Brewery Corp,The",The Brooklyn Brewery,79 N 11Th Street,Brooklyn,NY,11249,40.72174011,-73.95797497
Brewer,Oneida,Matt Brewing Co Inc,F X Matt Brewing Co,811 Edward Street,Utica,NY,13502,43.10350421,-75.24408062
Brewer,Oneida,"Brooklyn Brewery Corp,The",Brooklyn Brewery,811 Edward Street,Utica,NY,13502,43.10350421,-75.24408062
Brewer,Kings,American Craft Brewery Llc,Coney Island Brewing Company,1904 Surf Ave Retail Three,Brooklyn,NY,11224,40.57504,-73.98557
Brewer,Onondaga,Anheuser Busch Llc,Anheuser Busch ,2885 Belgium Road,Baldwinsville,NY,13027,43.16538732,-76.31037514
Brewer,Monroe,High Falls Operating Co Llc/Licensing Co Llc,High Falls Brewing Co/North American Breweries,445 St Paul St,Rochester,NY,14605,43.16493105,-77.61437097
Brewer,Monroe,Mark Anthony Brewing Inc,Mikes Hard Lemonade Co,445 St Paul St,Rochester,NY,14605,43.16493105,-77.61437097
Brewer,Monroe,Lidestri Beverages Llc,Lidestri Spirits,1050 Lee Rd,Rochester,NY,14606,43.187709999999996,-77.6798
Brewer,Ontario,Constellation Brands Inc,Constellation Brands ,116 Buffalo St,Canandaigua,NY,14424,42.8964164,-77.29376828
Brewer,Chautauqua,Southern Tier Brewing Company Llc,Southern Tier Brewing Company ,2072 Stoneman Circle,Lakewood,NY,14750,42.089240000000004,-79.35070999999999
"Distiller ""A-1""",Cattaraugus,Stillhouse Of Buffalo Llc,Stillhouse Of Buffalo ,6600 Rte 219,Ellicottville,NY,14731,42.285959999999996,-78.65914000000001
"Distiller ""A-1""",Sullivan,Catskill Distilling Company Ltd,Catskill Distilling Company ,2037 Route 17B,Bethel,NY,12720,41.68459888,-74.87443765
"Distiller ""A-1""",Dutchess,Dennings Point Distillery Llc,Dennings Point Distillery ,10 N Chestnut St,Beacon,NY,12508,41.50521,-73.96972
"Distiller ""A-1""",Monroe,Honeoye Falls Distillery Llc,Honeoye Falls Distillery ,168 W Main St,Honeoye Falls,NY,14472,42.948159999999994,-77.60446
"Distiller ""A-1""",Dutchess,Taconic Distillery Llc,Taconic Distillery,215 Bowen Rd,Stanfordville,NY,12581,0.0,0.0
"Distiller ""A-1""",Ulster,Allied Wine Corp,Armon Stropkov Spirits Silver Cloud Spirits,70 Berme Rd,Ellenville,NY,12425,41.71618484,-74.38212933
"Distiller ""A-1""",Warren,Lake George Distilling Company Llc,Lake George Distilling Company ,11262 State Rte 149,Fort Ann,NY,12827,43.4134858,-73.50302125
"Distiller ""A-1""",Erie,Barn Dog Craft Distilling Llc,Barn Dog Craft Distilling,1851 Four Rod Rd,E Aurora,NY,14052,42.83945,-78.53688000000001
"Distiller ""A-1""",Suffolk,Long Island Spirits Inc,Long Island Spirits ,2182 Sound Ave,Baiting Hollow,NY,11933,40.95570562,-72.75261872
